0.41613,0.92731,1.4852,2.0385,2.5744,3.0847,3.5626,4.0019,4.3971,4.7439,5.0393,5.2817,5.4718,5.6117,5.7056,5.759,5.7787,5.7716,5.744,5.7015,5.6475,5.5834,5.5083,5.4191,5.3116,5.1802,5.0197,4.8252,4.593,4.321,4.009,3.6589,3.2745,2.8617,2.4285,1.9845,1.5414,1.1128,0.71496,0.37006,0.12058
0.41064,0.91516,1.466,2.0128,2.5431,3.0487,3.5231,3.9602,4.3545,4.7017,4.9986,5.2437,5.4371,5.5809,5.6791,5.7371,5.7612,5.7583,5.7348,5.6959,5.6452,5.584,5.5113,5.4244,5.3187,5.1888,5.0294,4.8357,4.604,4.3321,4.0199,3.6693,3.2841,2.8704,2.4361,1.9908,1.5464,1.1164,0.71733,0.37129,0.12098
0.40324,0.89878,1.4401,1.9779,2.4999,2.9986,3.4673,3.9001,4.2918,4.6378,4.935,5.1816,5.3777,5.525,5.6274,5.6898,5.7186,5.7202,5.7011,5.6664,5.6195,5.5617,5.4922,5.408,5.3048,5.1771,5.0197,4.8276,4.5974,4.3268,4.0157,3.666,3.2816,2.8685,2.4347,1.9898,1.5457,1.116,0.71707,0.37116,0.12094
0.39429,0.87891,1.4085,1.9352,2.447,2.9367,3.3978,3.8247,4.2121,4.5555,4.8518,5.0991,5.2971,5.4476,5.5538,5.6207,5.6542,5.6607,5.6464,5.6162,5.5735,5.5197,5.4538,5.373,5.2728,5.1479,4.9931,4.8036,4.5757,4.3074,3.9985,3.6509,3.2686,2.8575,2.4256,1.9826,1.5402,1.112,0.71457,0.36988,0.12053
0.38405,0.85618,1.3724,1.8862,2.3861,2.865,3.317,3.7363,4.118,4.4577,4.752,4.9991,5.1984,5.3515,5.4613,5.5326,5.5709,5.5825,5.5731,5.5478,5.5098,5.4603,5.3985,5.3215,5.2248,5.1034,4.9519,4.7656,4.5409,4.2757,3.97,3.6256,3.2465,2.8386,2.4098,1.9699,1.5305,1.1051,0.71013,0.36759,0.11978
0.37278,0.83114,1.3326,1.832,2.3184,2.7853,3.2267,3.6372,4.012,4.3467,4.6381,4.884,5.084,5.2392,5.3523,5.4278,5.4709,5.4876,5.4835,5.4633,5.4303,5.3855,5.3282,5.2554,5.1628,5.0453,4.8976,4.7152,4.4944,4.2332,3.9315,3.5913,3.2163,2.8127,2.3881,1.9524,1.517,1.0954,0.70397,0.36441,0.11875
0.36068,0.80424,1.2897,1.7736,2.2455,2.699,3.1286,3.5292,3.896,4.2247,4.5122,4.7562,4.9561,5.1128,5.2289,5.3084,5.3562,5.378,5.3792,5.3644,5.3366,5.2968,5.2443,5.176,5.0879,4.9748,4.8316,4.6536,4.4373,4.1808,3.884,3.5488,3.1789,2.7805,2.3611,1.9306,1.5002,1.0834,0.69627,0.36044,0.11746
0.34793,0.7759,1.2445,1.7119,2.1683,2.6075,3.0244,3.414,3.7717,4.0936,4.3762,4.6175,4.8167,4.9744,5.093,5.1761,5.2285,5.2554,5.2619,5.2525,5.2301,5.1956,5.1481,5.0848,5.0015,4.8932,4.7548,4.5818,4.3707,4.1195,3.8283,3.4988,3.135,2.7426,2.3293,1.9049,1.4804,1.0692,0.68718,0.35575,0.11593
0.33471,0.74649,1.1976,1.6478,2.0879,2.5121,2.9153,3.2931,3.6409,3.955,4.232,4.4698,4.6676,4.8257,4.9463,5.0327,5.0893,5.1211,5.133,5.129,5.112,5.0829,5.0407,4.9825,4.9044,4.8013,4.6682,4.5006,4.2952,4.05,3.765,3.4421,3.0849,2.6994,2.2931,1.8755,1.4578,1.053,0.67681,0.3504,0.11419
0.32116,0.71634,1.1494,1.582,2.0052,2.4136,2.8026,3.1679,3.5051,3.8105,4.0812,4.3148,4.5103,4.6683,4.7903,4.8796,4.9401,4.9766,4.9937,4.9952,4.9836,4.9599,4.9231,4.8703,4.7975,4.6999,4.5724,4.4108,4.2116,3.9729,3.6948,3.379,3.0293,2.6514,2.2528,1.8429,1.4326,1.0349,0.66526,0.34444,0.11225
